sequence_id,frame_index,mean_similarity_to_others,distance_to_centroid,is_true_endpoint
sequence_1,0,0.8095640540122986,0.3649598956108093,1
sequence_1,1,0.7530905604362488,0.48168879747390747,0
sequence_1,2,0.7720798850059509,0.44586217403411865,0
sequence_1,3,0.8049017786979675,0.37597179412841797,0
sequence_1,4,0.781581699848175,0.426807701587677,0
sequence_1,5,0.8002672791481018,0.38660696148872375,0
sequence_1,6,0.7694368362426758,0.4510192573070526,0
sequence_1,7,0.6798915266990662,0.6001021265983582,1
sequence_2,0,0.7918757796287537,0.4607129693031311,1
sequence_2,1,0.8229902386665344,0.39724797010421753,0
sequence_2,2,0.8511525392532349,0.3294265568256378,0
sequence_2,3,0.8676778078079224,0.28213953971862793,0
sequence_2,4,0.861234724521637,0.30145999789237976,0
sequence_2,5,0.8207985758781433,0.4020462930202484,0
sequence_2,6,0.8099952936172485,0.42490842938423157,0
sequence_2,7,0.7849156260490417,0.47374728322029114,1
sequence_3,0,0.809822142124176,0.36152929067611694,1
sequence_3,1,0.8033193945884705,0.3769391179084778,0
sequence_3,2,0.815418541431427,0.3477208614349365,0
sequence_3,3,0.8333963751792908,0.29907941818237305,0
sequence_3,4,0.7652477622032166,0.4568464159965515,0
sequence_3,5,0.6975239515304565,0.5720359683036804,0
sequence_3,6,0.6636967062950134,0.6216291785240173,0
sequence_3,7,0.7637311220169067,0.45974162220954895,1
sequence_4,0,0.7803999781608582,0.46281659603118896,1
sequence_4,1,0.8495660424232483,0.30521920323371887,0
sequence_4,2,0.8326591849327087,0.3503507375717163,0
sequence_4,3,0.8402859568595886,0.3307548463344574,0
sequence_4,4,0.8574060201644897,0.2818486988544464,0
sequence_4,5,0.807711660861969,0.4079262912273407,0
sequence_4,6,0.8016411066055298,0.4207461178302765,0
sequence_4,7,0.6751229166984558,0.6312163472175598,1
sequence_5,0,0.797195315361023,0.41344261169433594,1
sequence_5,1,0.7995573282241821,0.408412903547287,0
sequence_5,2,0.8196986317634583,0.36270377039909363,0
sequence_5,3,0.7893600463867188,0.4297051727771759,0
sequence_5,4,0.7806386947631836,0.44711175560951233,0
sequence_5,5,0.7859109044075012,0.4366721510887146,0
sequence_5,6,0.7832568883895874,0.44195839762687683,0
sequence_5,7,0.7623396515846252,0.48159345984458923,1
sequence_6,0,0.8162450790405273,0.38223007321357727,1
sequence_6,1,0.8349323272705078,0.3367452621459961,0
sequence_6,2,0.8416109085083008,0.31891965866088867,0
sequence_6,3,0.7305083870887756,0.5441866517066956,0
sequence_6,4,0.8053091168403625,0.4064946174621582,0
sequence_6,5,0.8124737739562988,0.3907681703567505,0
sequence_6,6,0.8379387259483337,0.32884037494659424,0
sequence_6,7,0.7166735529899597,0.5659947991371155,1
sequence_7,0,0.8101139068603516,0.3606529235839844,1
sequence_7,1,0.774002730846405,0.43961912393569946,0
sequence_7,2,0.7561825513839722,0.47376179695129395,0
sequence_7,3,0.7897962927818298,0.4069719612598419,0
sequence_7,4,0.7591982483863831,0.46815893054008484,0
sequence_7,5,0.7414989471435547,0.5001465082168579,0
sequence_7,6,0.7522720694541931,0.4809299111366272,0
sequence_7,7,0.7679722905158997,0.45146235823631287,1
